ICD10Code,trad_icd_count,BFA_icd_count,trad_%,BFA_%
Z78.9,1946,996,8.038689714154482e-09,9.11407689352172e-09
M51.369,319,204,1.317750266606002e-09,1.866738640841798e-09
E78.2,76,145,3.1394677198136725e-10,1.3268485437355916e-09
M79.606,1245,933,5.14294383048424e-09,8.537584077967634e-09
I50.22,28,46,1.1566460020366161e-10,4.2093126215060144e-10
D84.9,2,0,8.261757157404401e-12,0.0
M86.672,0,3,0.0,2.7452038835908793e-11
B37.81,0,1,0.0,9.150679611969598e-12
Z96.1,2,6,8.261757157404401e-12,5.4904077671817586e-11
R10.30,594,116,2.453741875749107e-09,1.0614788349884733e-09
M13.841,3,5,1.2392635736106602e-11,4.5753398059847985e-11
S22.088D,0,1,0.0,9.150679611969598e-12
G21.8,14,0,5.7832300101830805e-11,0.0
H81.03,78,4,3.2220852913877163e-10,3.660271844787839e-11
G43.701,177,43,7.311655084302895e-10,3.934792233146927e-10
M75.91,18,1,7.435581441663961e-11,9.150679611969598e-12
M48.062,5347,894,2.2087807760320666e-08,8.18070757310082e-09
M54.42,5766,1346,2.3818645884796888e-08,1.2316814757711077e-08
E11.610,13,37,5.3701421523128606e-11,3.3857514564287507e-10
M19.131,13,7,5.3701421523128606e-11,6.405475728378719e-11
Z23.,209,440,8.633536229487598e-10,4.026299029266623e-09
R73.03,119,93,4.915745508655619e-10,8.510132039131725e-10
S12.191G,0,4,0.0,3.660271844787839e-11
R60.9,161,35,6.650714511710543e-10,3.202737864189359e-10
K03.6,6,1,2.4785271472213203e-11,9.150679611969598e-12
R20.2,1235,299,5.1016350446972175e-09,2.7360532039789096e-09
F25.9,159,44,6.568096940136499e-10,4.0262990292666226e-10
M79.18,2889,441,1.1934108213870657e-08,4.035449708878592e-09
G57.02,33,13,1.363189930971726e-10,1.1895883495560475e-10
M17.12,1069,866,4.415909200632652e-09,7.924488543965671e-09
L40.59,61,50,2.519835933008342e-10,4.575339805984799e-10
M50.01,181,21,7.476890227450982e-10,1.9216427185136153e-10
G43.909,8257,6056,3.410866442434407e-08,5.541651573008788e-08
G43.711,222,69,9.170550444718885e-10,6.313968932259022e-10
G50.0,978,509,4.039999249970752e-09,4.657695922492525e-09
K70.2,0,2,0.0,1.8301359223939195e-11
M48.05,11,16,4.54396643657242e-11,1.4641087379151356e-10
E29.9,4,2,1.6523514314808802e-11,1.8301359223939195e-11
M79.642,1596,706,6.592882211608712e-09,6.460379806050536e-09
G43.009,5605,3496,2.315357443362583e-08,3.199077592344571e-08
G20.,502,88,2.0737010465085045e-09,8.052598058533245e-10
L94.9,4,2,1.6523514314808802e-11,1.8301359223939195e-11
F10.94,16,3,6.609405725923521e-11,2.7452038835908793e-11
S86.002S,9,0,3.7177907208319803e-11,0.0
N32.81,140,15,5.783230010183081e-10,1.3726019417954397e-10
S63.592A,5,3,2.0654392893511e-11,2.7452038835908793e-11
M76.61,141,24,5.824538795970102e-10,2.1961631068727034e-10
R53.83,633,74,2.6148461403184928e-09,6.771502912857501e-10
S39.012D,95,37,3.92433464976709e-10,3.3857514564287507e-10
R91.8,9,10,3.7177907208319803e-11,9.150679611969597e-11
F14.280,0,1,0.0,9.150679611969598e-12
M18.9,32,40,1.3218811451847042e-10,3.660271844787839e-10
F41.3,149,12,6.155009082266279e-10,1.0980815534363517e-10
M79.671,3675,2123,1.5180978776730587e-08,1.9426892816211454e-08
S30.0XXA,6,0,2.4785271472213203e-11,0.0
M43.22,582,119,2.4041713328046807e-09,1.0889308738243821e-09
N75.0,0,1,0.0,9.150679611969598e-12
G72.3,1,0,4.1308785787022006e-12,0.0
M51.06,217,65,8.964006515783775e-10,5.947941747780239e-10
D72.828,1,0,4.1308785787022006e-12,0.0
G98.0,0,2,0.0,1.8301359223939195e-11
C18.9,5,9,2.0654392893511e-11,8.235611650772638e-11
M48.02,4632,2172,1.913422957654859e-08,1.9875276117197966e-08
S39.012A,192,196,7.931286871108225e-10,1.793533203946041e-09
T25.222A,1,0,4.1308785787022006e-12,0.0
M25.561,16690,10716,6.894436347853973e-08,9.80586827218662e-08
R47.02,15,0,6.1963178680533e-11,0.0
M25.569,12768,8664,5.2743057692869695e-08,7.928148815810459e-08
M51.372,569,101,2.350469911281552e-09,9.242186408089293e-10
M65.321,28,8,1.1566460020366161e-10,7.320543689575678e-11
A52.9,1,0,4.1308785787022006e-12,0.0
M19.049,206,110,8.509609872126533e-10,1.0065747573166557e-09
M43.20,2,1,8.261757157404401e-12,9.150679611969598e-12
M51.37,3088,707,1.2756153051032394e-08,6.469530485662505e-09
M67.431,2,2,8.261757157404401e-12,1.8301359223939195e-11
M51.27,456,133,1.8836806318882035e-09,1.2170403883919564e-09
M12.9,192,107,7.931286871108225e-10,9.791227184807469e-10
M79.603,207,107,8.550918657913554e-10,9.791227184807469e-10
M24.541,10,0,4.1308785787022e-11,0.0
M50.10,2226,502,9.195335716191098e-09,4.593641165208738e-09
